mileage,transmission,body_type,engine_size,year,id,description,type,date_posted,series,geolocation,seats,reference_number,views,color,scrape_date(dd/mm/yyyy),fuel_type,condition
,,,,,268674,fender,boats,09.01.2022 13:42,,,,,241,,14/01/2022,,
,,,,,275576,Price is for both engines together works great no problems,boats,18.12.2021 10:22,,,,,255,,14/01/2022,,
,,,,,263358,needs repairs...bait well ...approx..21 feet...neg...,boats,20.12.2021 10:53,,,,,593,,14/01/2022,,
,,,,,223320,This engine has less than 20 working hours.,boats,21.12.2021 06:31,,,,,806,,14/01/2022,,
,,,,,276364,"1997 Formula 43'. 6 cta cummings engines, kholer generator, new upholstery, new canvas top, new stereo, fresh anti-fouling paint, good condition.",boats,22.12.2021 21:22,,,,,431,,14/01/2022,,
,,,,,237246,Listing details,boats,28.12.2021 10:19,,,,,3974,,14/01/2022,,
,,,,,199312,Cat 3412 engine for sale!,boats,28.12.2021 22:03,,,,,37,,14/01/2022,,
,,,,,159567,Hustler Aluminum 14x21 four blade propeller,boats,30.12.2021 10:43,,,,,366,,14/01/2022,,
,,,,,277544,I added this for an acquaintance. His number is 3377377 Vishnu.,boats,31.12.2021 17:36,,,,,153,,14/01/2022,,
,,,,,129293,"have a pair of GM 471 marine engine and twin disc transmission.rebuilt. 0 hours since rebuilt sold separately or as a package.one engine $40,000.transmission $20,000.",boats,01.01.2022 09:27,,,,,1673,,14/01/2022,,
,,,,,265028,Excellent Maintained Craft,boats,03.01.2022 23:16,,,,,1137,,14/01/2022,,
,,,,,190010,"343 caterpillar marine engine for sale,can be used for parts or rebuilt.",boats,01.01.2022 09:28,,,,,422,,14/01/2022,,
,,,,,280723,works well no problems,tools-equipment,Today 13:03,,,,,11,,14/01/2022,,"Used
                            
                          "
,,,,,279545,might scrap,damaged-cars,10.01.2022 00:54,,,,,173,,14/01/2022,,
,,,,,259272,"20"" Rims and Tyres (295/65/20)",car-parts,Yesterday 20:45,,,,,305,,14/01/2022,,"Used
                            
                          "
,,,650 cc,"2008
                            
                          ",253970,Price negotiable.,motorbikes,12.01.2022 10:27,"PDT
                            
                          ",,,,221,,14/01/2022,,
,,,,,222223,Unit - call For Price,heavy-equipment,11.01.2022 08:56,,,,,27,,14/01/2022,,
,,,,,222224,Hand Brake Unit- call For Price,heavy-equipment,11.01.2022 08:56,,,,,41,,14/01/2022,,
,,,,,222226,Part- call For Price,heavy-equipment,11.01.2022 08:56,,,,,22,,14/01/2022,,
52000 km,Automatic,"Coupe
                            
                          ",2000 cc,2017,280153,Imported from UK hardly used top condition,cars,12.01.2022 11:01,"PDU
                            
                          ",,"4
                            
                          ",,132,White,14/01/2022,"Petrol
                            
                          ",
,Manual,"Pickup
                            
                          ",2500 cc,2013,218335,"Mitsubishi L200, well kept",cars,Yesterday 21:35,"TDE
                            
                          ",,"5
                            
                          ",,2574,Blue,14/01/2022,"Diesel
                            
                          ",
,Automatic,"Estate
                            
                          ",1500 cc,2018,266779,"Both units in stock, very good condition, registered dealer, 3 months written warranty, full service pre-sale",cars,Yesterday 21:36,"in Trinidad ?? Stock
                            
                          ",,"5
                            
                          ",,204,White,14/01/2022,"Petrol
                            
                          ",
30000 km,Automatic,"SUV
                            
                          ",1500 cc,2018,218333,Roro In Stock,cars,Yesterday 21:36,"RORO
                            
                          ",,"5
                            
                          ",,1364,Red,14/01/2022,"Hybrid
                            
                          ",
57000 km,Automatic,"SUV
                            
                          ",2000 cc,2017,35051,Kia Sportage 2017 gt model (fully loaded),cars,Yesterday 23:21,"PDN
                            
                          ",,"5
                            
                          ",,5485,Silver,14/01/2022,"Petrol
                            
                          ",
100000 km,Automatic,"Saloon
                            
                          ",1500 cc,1999,252104,pbk toyota yaris for sale 34k ...yaris is in pristine condition with low mileage local..contact 7366619 for viewing,cars,Yesterday 22:51,"pbk toyota yaris for sale.call 736-6619
                            
                          ",,"5
                            
                          ",,339,Silver,14/01/2022,"Petrol
                            
                          ",
110 km,Automatic,"HatchBack
                            
                          ",1500 cc,2008,10778,??One Owner ,cars,Yesterday 23:40,"PDB
                            
                          ",,"5
                            
                          ",,29,Silver,14/01/2022,"Petrol
                            
                          ",
,Automatic,"HatchBack
                            
                          ",2300 cc,1999,280629,SEVEN SEATER HONDA ODYSSEY ,cars,Today 05:36,"PBS
                            
                          ",,"7
                            
                          ",,35,Silver,14/01/2022,"Petrol
                            
                          ",
400000 km,Automatic,"Saloon
                            
                          ",2000 cc,1984,280625,*POSTING FOR SOMEONE NOT OWNED BY ME*,cars,Today 02:45,"l24
                            
                          ",,"4
                            
                          ",,71,Black,14/01/2022,"Petrol
                            
                          ",
,Automatic,"HatchBack
                            
                          ",1700 cc,2013,280630,"lady driven,excellent condition, want gone asap",cars,Today 05:47,"PDS
                            
                          ",,"5
                            
                          ",,55,Black,14/01/2022,"Hybrid
                            
                          ",
85000 km,Automatic,"Saloon
                            
                          ",1500 cc,2009,249488,low mileage,cars,Today 07:25,"PCN
                            
                          ",,"5
                            
                          ",,22,Blue,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",1900 cc,1997,244223,price is ngo,cars,Today 07:42,"PBK
                            
                          ",,"5
                            
                          ",,799,Black,14/01/2022,"Diesel
                            
                          ",
17000 km,Automatic,"Saloon
                            
                          ",1500 cc,2015,280644,"*Lady Driven* Showroom no accidents, no problems just buy and drive",cars,Today 07:53,"PDC
                            
                          ",,"4
                            
                          ",,51,White,14/01/2022,"Petrol
                            
                          ",
30000 km,Manual,"Pickup
                            
                          ",2500 cc,2017,280646,1OWNER NO ACCIDENTS .ON OUR COMPANY NAME.BOUGHT AN HARDLY USED . CALL FOR INO ORIGINAL,cars,Today 08:04,"TDR
                            
                          ",,"3
                            
                          ",,32,White,14/01/2022,"Diesel
                            
                          ",
152000 km,Automatic,"Saloon
                            
                          ",1600 cc,2001,280638,"Excellent and Original Condition. A very well kept Car, Inside and Outside 10/10. Sunroof, Lil Music,New Pioneer DVD deck,Ac Freezing,New Rims and Tyres, Flares, Spoiler, Door Visors, Fully Loaded CK4, 2nd Owner, Genuine Mileage. Perfect for that first time owner, Very Good on gas. Transfer ready. Price is slightly negotiable.",cars,Today 07:06,"PBF
                            
                          ",,"5
                            
                          ",,55,Gray,14/01/2022,"Petrol
                            
                          ",
97000 km,Automatic,"HatchBack
                            
                          ",1500 cc,2015,235400,TOYOTA FIELDER WAGON,cars,Today 07:32,"PDW
                            
                          ",,"5
                            
                          ",,22,White,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Saloon
                            
                          ",1500 cc,2008,280647,"for sale local mitsubishi cs3 lancer in pristine condition inside/outside, bought from diamond motors, recently painted, new tyres and battery, sunroof, a/c, no accident jus buy and drive, priced at $43,000 negotiable, call 483 7274 or 336 4184 for more info",cars,Today 08:07,"pcf
                            
                          ",,"5
                            
                          ",,35,Black,14/01/2022,"Petrol
                            
                          ",
,Manual,"Pickup
                            
                          ",2500 cc,2013,280648,"vehicle is on my name, just buy and drive, always serviced on time",cars,Today 08:07,"TCW
                            
                          ",,"5
                            
                          ",,152,White,14/01/2022,"Diesel
                            
                          ",
234000 km,Automatic,"Saloon
                            
                          ",1600 cc,1990,280652,"Vehicle in excellent condition, no issues, recently painted, new rims and tires, inspected, orginal, QG 16 engine and transmission.",cars,Today 08:41,"PBH
                            
                          ",,"4
                            
                          ",,45,Red,14/01/2022,"Petrol
                            
                          ",
153 km,Automatic,"Saloon
                            
                          ",1700 cc,2008,280660,fully powered,cars,Today 09:11,"pcl
                            
                          ","chaguanas
                            
                          ","5
                            
                          ",,130,White,14/01/2022,"Natural gas
                            
                          ",
,Automatic,"Saloon
                            
                          ",1500 cc,2001,280662,vehicle is in good working condition ,cars,Today 09:14,"PBL
                            
                          ",,"5
                            
                          ",,30,White,14/01/2022,"Petrol
                            
                          ",
97000 km,Automatic,"Saloon
                            
                          ",3200 cc,2007,280663,For Sale or Trades Accepted.,cars,Today 09:16,"PCD
                            
                          ",,"5
                            
                          ",,55,Blue,14/01/2022,"Petrol
                            
                          ",
,Automatic,"HatchBack
                            
                          ",6000 cc,2004,280666,Ac and everything working,cars,Today 09:21,"PBY
                            
                          ",,"5
                            
                          ",,33,White,14/01/2022,"Petrol
                            
                          ",
,Automatic,"SUV
                            
                          ",2900 cc,2009,280676,excellent condition,cars,Today 10:01,"PBC
                            
                          ",,"5
                            
                          ",,36,Green,14/01/2022,"Diesel
                            
                          ",
,Automatic,"Saloon
                            
                          ",1800 cc,2013,278561,POSTING FOR SELLER - CONTACT DAVE FOR VIEWING 620-4384,cars,11.01.2022 13:50,"PCX
                            
                          ",,"5
                            
                          ",,787,White,14/01/2022,"Petrol
                            
                          ",
,Manual,"HatchBack
                            
                          ",2000 cc,2009,40225,SR20 VVL turbo the reason for selling i need a van or if I get a trade,cars,Today 10:01,"PCA
                            
                          ",,"5
                            
                          ",,4080,Purple,14/01/2022,"Petrol
                            
                          ",
57000 km,Automatic,"SUV
                            
                          ",,2016,89007,like brand new,cars,Today 10:02,"PDD
                            
                          ",,"5
                            
                          ",,4502,White,14/01/2022,"Diesel
                            
                          ",
97000 km,Manual,"Estate
                            
                          ",2500 cc,2014,280697,"NISSAN CARAVAN NV350 Panel Van, Diesel , 5 speed manual, Air condition, Power Windows , Power Locks, Air bags",cars,Today 11:15,"TDU 
                            
                          ",,"3
                            
                          ",,37,White,14/01/2022,"Diesel
                            
                          ",
,Automatic,"Saloon
                            
                          ",1800 cc,2005,250541,transfer included....just buy and drive..,cars,Today 10:30,"PCU
                            
                          ",,"5
                            
                          ",,8,Beige,14/01/2022,"Petrol
                            
                          ",
,Automatic,"Estate
                            
                          ",1600 cc,2002,280686,"Engine is making a noise, car is starting and driving.",cars,Today 10:31,"PBL
                            
                          ",,"5
                            
                          ",,55,White,14/01/2022,"Petrol
                            
                          ",
,Manual,"Pickup
                            
                          ",2500 cc,2002,280694,AIR CONDITION 4WD BLUETOOTH DECK,cars,Today 11:08,"TBU
                            
                          ",,"5
                            
                          ",,53,White,14/01/2022,"Diesel
                            
                          ",
68000 km,Automatic,"SUV
                            
                          ",,2014,280696,"Dealer Maintained, Fog Lights, Reverse Sensor, Reverse Camera, New Tires, Fabric Seats, Low Mileage, Executive Driven.",cars,Today 11:13,"PDB
                            
                          ",,"4
                            
                          ",,62,Red,14/01/2022,"Petrol
                            
                          ",
